count,class,tweet,label,prompt
3,2,Flabby bird sounds Turrible. Lol. I'll just stick to watching paint dry...,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Flabby bird sounds Turrible. Lol. I'll just stick to watching paint dry... </prompt>"
3,2,"@AjKFAN Big congrats to all! I expect him to be blogging on rube chat in a few days! Now get some sleep, you will need it!",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @AjKFAN Big congrats to all! I expect him to be blogging on rube chat in a few days! Now get some sleep, you will need it! </prompt>"
3,2,"This Isn't Murica, Charlie Brown. #rejectedpeanutsspecials",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: This Isn't Murica, Charlie Brown. #rejectedpeanutsspecials </prompt>"
3,1,"If not for GZ, #Trayvon would be alive right this second... Smoking a bowl and tweeting about ""bitches and hoes"". Such a nice kid he was...",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: If not for GZ, #Trayvon would be alive right this second... Smoking a bowl and tweeting about ""bitches and hoes"". Such a nice kid he was... </prompt>"
3,0,RT @Wayne__Da__Boss: I hate a bitch dat act like a nigga. &#128530;,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @Wayne__Da__Boss: I hate a bitch dat act like a nigga. &#128530; </prompt>"
3,2,I hate that wee boy wae the squinty eyes in the game of thrones. #Suchaprick #hopehegetskilled,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: I hate that wee boy wae the squinty eyes in the game of thrones. #Suchaprick #hopehegetskilled </prompt>"
3,2,@ravenalegria13 @prattprattpratt I was impressed that anybody could chug a Smirnoff Ice that quickly.,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @ravenalegria13 @prattprattpratt I was impressed that anybody could chug a Smirnoff Ice that quickly. </prompt>"
3,2,@Linnlondon1 I want some clams on the half shell :-) http://t.co/uFCAjNNQTZ,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @Linnlondon1 I want some clams on the half shell :-) http://t.co/uFCAjNNQTZ </prompt>"
3,2,"RT @KenDavidoff: The #Cardinals are #MLB's gold standard, and there isn't even a close silver. #Dodgers #Giants #Tigers #Yankees http://t.c&#8230;",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @KenDavidoff: The #Cardinals are #MLB's gold standard, and there isn't even a close silver. #Dodgers #Giants #Tigers #Yankees http://t.c&#8230; </prompt>"
3,1,"RT @Juicedballs: Not scared to pepper spray a bitch

*Hand gently resting on fanny pack*",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @Juicedballs: Not scared to pepper spray a bitch

*Hand gently resting on fanny pack* </prompt>"
3,1,Pass interference you dumb ass zebra jerks,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Pass interference you dumb ass zebra jerks </prompt>"
3,2,RT @BryanHoch: Just 113 days until Yankees pitchers and catchers report.,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @BryanHoch: Just 113 days until Yankees pitchers and catchers report. </prompt>"
3,2,The family of Ron O'Neal needs to sue Wu-Tang for that trash song they released in his name.,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: The family of Ron O'Neal needs to sue Wu-Tang for that trash song they released in his name. </prompt>"
3,1,I don't talk to niccas I talk to god we can relate,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: I don't talk to niccas I talk to god we can relate </prompt>"
3,1,"RT @yummy_pearl4: ""You put my number on blocklist? How can I stop this??? Convert them mfs. I'll make all them hoes topless."" &#128548;&#128298;",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @yummy_pearl4: ""You put my number on blocklist? How can I stop this??? Convert them mfs. I'll make all them hoes topless."" &#128548;&#128298; </prompt>"
3,2,I had froyo with brownies for dinner tonight. Being an adult is making these executive decisions,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: I had froyo with brownies for dinner tonight. Being an adult is making these executive decisions </prompt>"
3,2,The republican teabaggers hate this but screw em. http://t.co/6iutHYvhQm,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: The republican teabaggers hate this but screw em. http://t.co/6iutHYvhQm </prompt>"
3,2,RT @ItsFoodPorn: Oreo Cheesecake Bars http://t.co/RlHHIM98FL,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @ItsFoodPorn: Oreo Cheesecake Bars http://t.co/RlHHIM98FL </prompt>"
3,2,"""The water isn't yellow, I'm a healthy student""",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: ""The water isn't yellow, I'm a healthy student"" </prompt>"
3,2,"Sore Loser Charlie Crist Won&#8217;t Give Concession Speech, Calls For Recount http://t.co/MVhecTyUYs #tcot #pjnet",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Sore Loser Charlie Crist Won&#8217;t Give Concession Speech, Calls For Recount http://t.co/MVhecTyUYs #tcot #pjnet </prompt>"
3,1,Got a iPhone for business but the sidekick is for the bitches &#127926;,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Got a iPhone for business but the sidekick is for the bitches &#127926; </prompt>"
6,1,"Hello, and to them bitches!!!!! ""@WitHaPrettyface: I just want him to keep them lies to his self..&#128524;&#128080;""",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Hello, and to them bitches!!!!! ""@WitHaPrettyface: I just want him to keep them lies to his self..&#128524;&#128080;"" </prompt>"
3,2,"@NYRKelsMads 
I be wishin you was local. I takes you to da Yankee game and spoil you",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @NYRKelsMads 
I be wishin you was local. I takes you to da Yankee game and spoil you </prompt>"
3,1,She be on some real shit n stay on some chill shit .. Besides all my niccas the only one I can chill wit!,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: She be on some real shit n stay on some chill shit .. Besides all my niccas the only one I can chill wit! </prompt>"
3,1,@marclamonthill all #nfl stadiums play music by jay-z a former drug dealer whose diaphragm wouldnt work w/o saying nigger in every song,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @marclamonthill all #nfl stadiums play music by jay-z a former drug dealer whose diaphragm wouldnt work w/o saying nigger in every song </prompt>"
3,1,Protect your bitch at all costs,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Protect your bitch at all costs </prompt>"
3,1,"@MrMooncricket @FuckTheMallcops @JimTalbot1963 @theharris338 work, is something adults do for money, not borrow from money... Broke bitch",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @MrMooncricket @FuckTheMallcops @JimTalbot1963 @theharris338 work, is something adults do for money, not borrow from money... Broke bitch </prompt>"
3,2,RT @KxRxSxB: Sometimes I turn my phone on loud to tweet just to hear the bird chirp. #TrueStory #TeamiPhone,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @KxRxSxB: Sometimes I turn my phone on loud to tweet just to hear the bird chirp. #TrueStory #TeamiPhone </prompt>"
3,1,"One night stand y'all hoes, y'all ain't nothing more!",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: One night stand y'all hoes, y'all ain't nothing more! </prompt>"
6,1,the jews gon be laughin at a nigga on Judgement Day when they see how ugly this bitch was,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: the jews gon be laughin at a nigga on Judgement Day when they see how ugly this bitch was </prompt>"
3,1,Dey gave da wrong nicca money,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Dey gave da wrong nicca money </prompt>"
