count,class,tweet,label,prompt
3,1,"RT @HelloCupkake: Too many good single girls, too many hoes taken.",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @HelloCupkake: Too many good single girls, too many hoes taken. </prompt>"
3,1,&#8220;@GreaterThn: for all the bad bitches out there http://t.co/ESXBexvKEs&#8221;Lets go have some fun&#128536; @ambernicolee05 &#128514;&#128514;&#128514;,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: &#8220;@GreaterThn: for all the bad bitches out there http://t.co/ESXBexvKEs&#8221;Lets go have some fun&#128536; @ambernicolee05 &#128514;&#128514;&#128514; </prompt>"
3,1,If you're not attractive .... bitch you ain't making my drinks...! TF you think this is.?,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: If you're not attractive .... bitch you ain't making my drinks...! TF you think this is.? </prompt>"
3,1,kush god bitch,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: kush god bitch </prompt>"
3,1,Chicago hoes love pink lipstick &#128530;&#128533;,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Chicago hoes love pink lipstick &#128530;&#128533; </prompt>"
6,1,RT @1WayHustle: Bitches love niggas that got bitches,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @1WayHustle: Bitches love niggas that got bitches </prompt>"
3,2,"Someone at my household wants to die. I get all excited to enjoy a couple of Oreos, but someone left ONLY ONE. ONE FRIGGIN' OREO. &#128545;&#128548;&#128544;&#128298;&#128299;",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Someone at my household wants to die. I get all excited to enjoy a couple of Oreos, but someone left ONLY ONE. ONE FRIGGIN' OREO. &#128545;&#128548;&#128544;&#128298;&#128299; </prompt>"
3,1,"RT @JohnnyFootbalI: Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @JohnnyFootbalI: Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230; </prompt>"
3,1,"RT @MisterrRager: &#8220;@ViriDoesItt: I already know you trash if being tatted is on the list of things you want in a nigga..&#8221;

Off top.",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @MisterrRager: &#8220;@ViriDoesItt: I already know you trash if being tatted is on the list of things you want in a nigga..&#8221;

Off top. </prompt>"
3,1,This how most of yall side hoes gone look on valentines day!! Lol http://t.co/SJmjiysthI,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: This how most of yall side hoes gone look on valentines day!! Lol http://t.co/SJmjiysthI </prompt>"
